strain	host	subtype	country	date	HH	NN	PB2	PB1	PA	NP	M	NS
A/Ann Arbor/6/1960	Human	H2N2	USA	1960	"CY125902, AF270721"	"CY125904, AB124655, AY209903"	"M23970, CY125909, AY209938"	"M23972, CY125908, AY210012"	"M23974, CY125907, AY209994"	"M23976, CY125905, AY210074"	"M23978, CY125903"	"M23968, CY125906, M12591, AY210161, K00962"
A/Beijing/12/1964	Human	H2N2	China	1964	KP098392	KP098394	KP098389	KP098390	KP098391	KP098393	KP098395	KP098396
A/Bellamy/1942	Human	H1N1	USA	1942	"CY009276, HQ008263"	"CY009278, HQ008262"	CY009283	CY009282	CY009281	CY009279	CY009277	"CY009280, M12596, K00956"
A/Bellamy/JY2/1942	Human	H1N1		1942	CY146769	CY146771	CY146776	CY146775	CY146774	CY146772	CY146770	CY146773
A/Berlin/3/1964	Human	H2N2	Germany	1964	"L11126, CY032237"	CY032239	CY032244	CY032243	CY032242	CY032240	CY032238	CY032241
A/bh/1935	Human	H1N1		1935	CY096811	"CY096813, K01004, J02563"	CY096818	CY096817	CY096816	CY096814	CY096812	CY096815
A/BH/JY2/1935	Human	H1N1		1935	CY147326	CY147328	CY147333	CY147332	CY147331	CY147329	CY147327	CY147330
A/Brevig Mission/1/1918	Human	H1N1	USA	1918	AF116575	AF250356	DQ208309	DQ208310	DQ208311	AY744935	AY130766	AF333238
A/Cameron/1946	Human	H1N1	Australia	1946	CY009596	CY009598	CY009603	CY009602	CY009601	CY009599	CY009597	"CY009600, K00961"
A/Cameron/JY2/1946	Human	H1N1		1946	CY147350	CY147352	CY147357	CY147356	CY147355	CY147353	CY147351	CY147354
A/chicken/Brescia/1902	Avian	H7N7	Italy	1902	"GU186777, AM922154, U20471"	GU186779	"CY015058, GU186784"	GU186783	"CY015057, GU186782"	"CY015055, GU186780"	"CY015054, L37795, GU186778"	"L37798, CY015056, GU186781"
A/chicken/Germany/1934	Avian	H7N1	Germany	1934	GU052946	GU052948	GU052953	GU052952	GU052951	GU052949	GU052947	GU052950
A/chicken/Germany/N/1949	Avian	H10N7	Germany	1949	"GQ176136, CY014671, M21647, AB292666"	"GQ176134, EU429796, CY014673, AB292667, GU052192, K01022"	"GQ176129, CY014678, GU052196"	"GQ176130, CY014677, GU052195"	"GQ176131, CY014676, GU052194"	"GQ176133, CY014674, GU052193"	"GQ176135, CY014672, GU052191"	"GQ176132, CY014675"
A/chicken/Japan/1925	Avian	H7N7	Japan	1925	AB307735	KF619248	KF619244	KF619245	KF619246	KF619247	KF619249	KF619250
A/chicken/Rostock/45/1934	Avian	H7N1	Germany	1934	CY077420	"CY077422, CY015048"	"CY077417, CY015053"	"CY077418, CY015052"	"CY077419, CY015051"	"CY077421, CY015049"	"CY077423, CY015047"	"CY077424, CY015050"
A/chicken/Rostock/8/1934	Avian	H7N1	Germany	1934	M24457	X52226	"AJ243991, X58690"	AJ243990	"X17223, AJ243992"	"M24660, M21937, M24556, M24557, M22576, AJ243993"	"M55474, M55475"	"V01101, M29617, M60799"
A/chicken/Scotland/1959	Avian	H5N1	United Kingdom	1959	"CY015081, GU052518, KM190930"	"CY015083, AJ416625, GU052520"	"CY015088, GU052525"	"CY015087, GU052524"	"CY015086, GU052523"	"CY015084, GU052521"	"CY015082, GU052519"	"CY015085, GU052522, AF009898"
A/Chile/13/57	Human	H2N2	Chile	1957	AY209952	AY209896	AY209934	AY210008	AY209990	AY210067	AY210027	AY210154
A/Cottbus/1/1964	Human	H2N2	Germany	1964	CY032261	CY032263	CY032268	CY032267	CY032266	CY032264	CY032262	CY032265
A/Denver/1957	Human	H1N1	USA	1957	"CY008988, AF305218, AM922136"	"CY008990, AF305216"	CY008995	CY008994	CY008993	CY008991	"CY008989, AF305217"	"CY008992, M12592"
A/Denver/JY2/1957	Human	H1N1	USA	1957	CY146793	CY146795	CY146800	CY146799	CY146798	CY146796	CY146794	CY146797
A/duck/Czechoslovakia/1956	Avian	H4N6	Czech Republic	1956	"M25283, AF290436, GU052381, AB295611, CY130022, D90302"	"CY130024, GU052383, AB295612"	"CY005822, CY130029"	"CY005821, CY130028, GU052386"	"CY005820, CY130027"	"M30762, CY014650, CY130025, GU052384"	"M63537, CY014649, CY130023, GU052382"	"CY006039, CY130026, GU052385"
A/duck/Czechoslovakia/1956	Avian	H4N6	Czech Republic	1956/06/11	CY045327	CY045329	CY045334	CY045333	CY045332	CY045330	CY045328	CY045331
A/duck/England/1/1956	Avian	H11N6	United Kingdom	1956	"CY014679, GU052203, CY130062, AB288845, D90306, GQ247862, J02107"	"EU429795, CY014681, CY130064, AB288846, AY207549, GQ247863, K01039"	"CY014686, GU052209, CY130069"	"CY014685, GU052208, CY130068"	"CY014684, GU052207, CY130067"	"M63780, CY014682, GU052205, CY130065"	"CY014680, GU052204, CY130063"	"CY014683, GU052206, CY130066, M16563"
A/duck/Manitoba/1953	Avian	H10N7	Canada	1953	"KF435049, J02110"	"KF435051, K01036"	KF435062	KF435047	KF435048	KF435050	KF435052	KF435053
A/duck/Ukraine/1/1963	Avian	H3N8	Ukraine	1963	"V01087, HE802062, CY130014, AB292668, GU052321, AM922146"	"EU429797, L06576, CY130016, AB292669, GU052323"	"CY130021, GU052328"	"GU052327, CY130020"	"GU052326, CY130019"	"GU052324, CY130017"	"GU052322, CY130015"	"GU052325, CY130018, M16565"
A/duck/Ukraine/1/1963	Avian	H3N8	Ukraine	1963/12/12	CY006038	CY014648	CY005819	CY005818	CY005817	CY005815	CY005814	CY005816
A/duck/United Kingdom/1/1956	Avian	H11N6	United Kingdom	1956/06/11	CY087840	CY087842	CY087847	CY087846	CY087845	CY087843	CY087841	CY087844
A/El Salvador/2/1957	Human	H2N2	El Salvador	1957/09/02	HM204767	HM204769	HM204774	HM204773	HM204772	HM204770	HM204768	HM204771
A/England/1/1961	Human	H2N2	United Kingdom	1961	"CY125854, AY209955"	"CY125856, AY209904"	CY125861	CY125860	CY125859	"CY125857, AY210075"	"CY125855, AY210035"	"CY125858, AY210163"
A/England/12/1962	Human	H2N2	United Kingdom	1962	KP098440	KP098442	KP098437	KP098438	KP098439	KP098441	KP098443	KP098444
A/equine/Detroit/3/1964	Equine	H7N7	USA	1964	"KF435057, CY099312"	KF435059	KF435054	KF435055	KF435056	KF435058	KF435060	"M80970, KF435061"
A/equine/Miami/1/1963	Equine	H3N8	USA	1963	"M24719, CY028836"	"L06580, CY028838"	CY028843	"CY028842, EU236678"	CY028841	"M22575, CY028839"	CY028837	CY028840
A/equine/Prague/1/1956	Equine	H7N7	Czech Republic	1956	"X62552, CY096907"	"U85989, CY005802, CY096909, K01008"	"M73519, CY096914"	CY096913	CY096912	"M63748, CY005803, CY096910"	"CY005801, M63533, CY096908"	"M80944, CY005804, CY096911, U49489"
A/equine/Prague/1956	Equine	H7N7	Czech Republic	1956	CY130134	CY130136	CY130141	"CY130140, EU236679"	CY130139	"M22572, CY130137"	CY130135	CY130138
A/equine/Prague/2/1956	Equine	H7N7	Czech Republic	1956/06/11	CY087816	CY087818	CY087823	CY087822	CY087821	CY087819	CY087817	CY087820
A/equine/Sao Paulo/6/1963	Equine	H3N8	Brazil	1963	CY032293	CY032295	CY032300	CY032299	CY032298	CY032296	CY032294	CY032297
A/equine/Uruguay/1/1963	Equine	H3N8	Uruguay	1963	"M24718, CY032421"	CY032423	CY032428	CY032427	CY032426	CY032424	CY032422	CY032425
A/FLW/1951	Human	H1N1		1951	CY147374	CY147376	CY147381	CY147380	CY147379	CY147377	CY147375	CY147378
A/Fort Monmouth/1-JY2/1947	Human	H1N1	USA	1947	CY147342	CY147344	CY147349	CY147348	CY147347	CY147345	CY147343	CY147346
A/Fort Monmouth/1/1947	Human	H1N1	USA	1947	"U02085, CY009612, CY045780, DQ649410, AB043478, AF494250, AM922137"	"CY009614, AF494253, CY045782"	"CY009619, CY045787"	"CY009618, CY045786"	"CY009617, CY045785"	"U02086, CY009615, CY045783"	"U02084, CY009613, CY045781"	"U02087, K00577, CY009616, CY045784"
A/Fort Warren/1/1950	Human	H1N1	USA	1950	CY009332	"CY009334, K01010, J02126"	CY009339	CY009338	CY009337	"D00601, CY009335"	"CY009333, J02125"	"K00576, CY009336"
A/Fort Warren/50-JY2/1950	Human	H1N1	USA	1950	CY147334	CY147336	CY147341	CY147340	CY147339	CY147337	CY147335	CY147338
A/FPV/Dutch/1927	Avian	H7N7	United Kingdom	1927	CY130142	CY130144	CY130149	CY130148	CY130147	CY130145	CY130143	CY130146
A/Georgia/1/1963	Human	H2N2	USA	1963	"KP098408, AY209964"	KP098410	KP098405	KP098406	KP098407	KP098409	KP098411	"KP098412, AY210170"
A/Guiyang/1/1957	Human	H2N2	China	1957	CY032269	CY032271	CY032276	CY032275	CY032274	CY032272	CY032270	CY032273
A/Hemsbury/1948	Human	H1N1	USA	1948	CY077881	CY077883	CY077878	CY077879	CY077880	CY077882	CY077884	CY077885
A/Henry/1936	Human	H1N1	USA	1936	CY020445	CY020447	CY020452	CY020451	CY020450	CY020448	CY020446	CY020449
A/Hickox/1940	Human	H1N1	USA	1940	CY013271	CY013273	CY013278	CY013277	CY013276	"M63749, CY013274"	CY013272	CY013275
A/Hickox/JY2/1940	Human	H1N1		1940	CY146777	CY146779	CY146784	CY146783	CY146782	CY146780	CY146778	CY146781
A/Iowa/1943	Human	H1N1	USA	1943	CY020461	CY020463	CY020468	CY020467	CY020466	CY020464	CY020462	CY020465
A/ITS/1/1957	Human	H2N2	Japan	1957	CY125870	CY125872	CY125877	CY125876	CY125875	CY125873	CY125871	CY125874
A/Japan/170/62	Human	H2N2	Japan	1962	AY209959	AY209908	AY209940	AY210014	AY209996	AY210079	AY210037	AY210164
A/Japan/305-MA12/1957	Human	H2N2	Japan	1957/06/01	CY087800	CY087802	CY087807	CY087806	CY087805	CY087803	CY087801	CY087804
A/Japan/305/1957	Human	H2N2	Japan	1957	"J02127, CY045804, CY044325, DQ508841, AY209953"	"CY044327, CY045806, AB101671, DQ508843, AY643089"	"CY045811, CY044332, DQ508838"	"CY045810, CY044331, DQ508839"	"CY045809, CY044330, DQ508840"	"CY045807, CY044328, DQ508842"	"DQ508844, CY045805, CY044326, AY210028"	"CY045808, CY044329, DQ508845"
A/Japan/305/1957	Human	H2N2	Japan	1957/04	CY014976	CY014978	CY014983	CY014982	CY014981	CY014979	CY014977	CY014980
A/Krasnodar/101/1959	Human	H2N2	Russia	1959	"L11134, CY032253"	CY032255	"JN596872, CY032260"	"JN596873, CY032259"	"JN596874, CY032258"	"JN596875, CY032256"	"JN596876, CY032254"	"JN596877, CY032257"
A/Kumamoto/1/1965	Human	H2N2	Japan	1965	"AY209971, D13577"	AY209917	AY209943	AY210017	AY210000	AY210085	AY210050	AY210177
A/Kw/1/1957	Human	H1N1	China	1957	CY125862	CY125864	CY125869	CY125868	CY125867	CY125865	CY125863	CY125866
A/Leningrad/134/1957	Human	H2N2	Russia	1957	AF270717	L37329	M81575	M81574	M81573	M81571	M81570	M81572
A/Leningrad/29/1963	Human	H2N2	Russia	1963	KP098416	KP098418	KP098413	KP098414	KP098415	KP098417	KP098419	KP098420
A/Liverpool/1951	Human	H1N1	United Kingdom	1951	CY077889	CY077891	CY077886	CY077887	CY077888	CY077890	CY077892	CY077893
A/Malaya/302/1954	Human	H1N1	Malaysia	1954	CY021053	CY021055	CY021060	CY021059	CY021058	CY021056	CY021054	CY021057
A/Malaysia/1954	Human	H1N1	Malaysia	1954	CY009340	CY009342	CY009347	CY009346	CY009345	CY009343	CY009341	CY009344
A/Malaysia/JY2/1954	Human	H1N1	Malaysia	1954	CY146785	CY146787	CY146792	CY146791	CY146790	CY146788	CY146786	CY146789
A/Melbourne/1/1946	Human	H1N1	Australia	1946	CY045772	CY045774	CY045779	CY045778	CY045777	CY045775	CY045773	CY045776
A/Melbourne/1935	Human	H1N1	Australia	1935	CY009324	"CY009326, K01020, J02565"	CY009331	CY009330	CY009329	CY009327	CY009325	CY009328
A/Melbourne/JY2/1935	Human	H1N1	Australia	1935	CY147398	CY147400	CY147405	CY147404	CY147403	CY147401	CY147399	CY147402
A/Moscow/1019/1965	Human	H2N2	Russia	1965	CY031603	CY031605	CY031610	CY031609	CY031608	CY031606	CY031604	CY031607
A/mouse/United Kingdom/WSN/1933	Mouse	H1N1	United Kingdom	1933	MN220710	MN220712	MN220707	MN220708	MN220709	MN220711	MN220713	MN220714
A/Murakami/4/64	Human	H2N2	Japan	1964	AY209968	"AB101672, AY209913"	AY209941	AY210015	AY209997	AY210084	AY210046	AY210171
A/Netherlands/001H1/1954	Human	H1N1	Netherlands	1954	CY077725	CY077727	CY077722	CY077723	CY077724	CY077726	CY077728	CY077729
A/Netherlands/001K1/1963	Human	H2N2	Netherlands	1963	CY077733	CY077735	CY077730	CY077731	CY077732	CY077734	CY077736	CY077737
A/Netherlands/001R1/1953	Human	H1N1	Netherlands	1953	CY077748	CY077750	CY077745	CY077746	CY077747	CY077749	CY077751	CY077752
A/Netherlands/001S1/1948	Human	H1N1	Netherlands	1948	CY077756	CY077758	CY077753	CY077754	CY077755	CY077757	CY077759	CY077760
A/Netherlands/056H1/1960	Human	H2N2	Netherlands	1960	CY077786	CY077788	CY077783	CY077784	CY077785	CY077787	CY077789	CY077790
A/Netherlands/56/1963	Human	H2N2	Netherlands	1963	CY035078	CY035080	CY035085	CY035084	CY035083	CY035081	CY035079	CY035082
A/Netherlands/65/1963	Human	H2N2	Netherlands	1963	"CY125886, AY209966"	"CY125888, AY209911"	CY125893	CY125892	CY125891	"CY125889, AY210083"	"CY125887, AY210041"	"CY125890, AY210168"
A/Netherlands/M1/1957	Human	H2N2	Netherlands	1957/09/11	KM402801	KM402803	KM402798	KM402799	KM402800	KM402802	KM402804	KM402805
A/North Carolina/1/1963	Human	H2N2	USA	1963	"CY045788, CY031587"	"CY031589, CY045790"	"CY045795, CY031594"	"CY031593, CY045794"	"CY045793, CY031592"	"CY045791, CY031590"	"CY045789, CY031588"	"CY045792, CY031591"
A/Okuda/1957	Human	H2N2	Japan	1957	"KP098432, D13575"	KP098434	KP098429	KP098430	KP098431	KP098433	KP098435	KP098436
A/Panama/1/61	Human	H2N2	Panama	1961	AY209956	AY209905	AY209939	AY210013	AY209995	AY210076	AY210036	AY210162
A/Phila/1935	Human	H1N1	USA	1935	CY020469	CY020471	CY020476	CY020475	CY020474	CY020472	CY020470	CY020473
A/Pittsburgh/2/65	Human	H2N2	USA	1965	AY209973	AY209916	AY209944	AY210018	AY209999	AY210087	AY210049	AY210175
A/Potsdam/2/1965	Human	H2N2	Germany	1965	CY032245	CY032247	CY032252	CY032251	CY032250	CY032248	CY032246	CY032249
A/Puerto Rico/8-1/1934	Human	H1N1	Puerto Rico	1934	CY045764	CY045766	CY045771	CY045770	CY045769	CY045767	CY045765	CY045768
A/Puerto Rico/8-WG/1934	Human	H1N1	Puerto Rico	1934	CY084006	CY084008	CY084013	CY084012	CY084011	CY084009	CY084007	CY084010
A/Puerto Rico/8/1934	Human	H1N1	Puerto Rico	1934	"V01088, MH785011, LC120391, AB671289, EF467821, HE802058, CY121109, CY009444, CY105896, CY148243, CY033577, HQ008261, J02144, J04572, M34335, K00877, K00872, K00871"	"AB671290, LC120393, MH785013, J02146, EF467823, CY121111, CY148245, CY009446, CY105898, CY033579, HQ008260, K00874"	"V00603, AB671295, LC120388, KC866597, MH785018, EF467818, CY121116, CY148250, CY009451, CY105903, CY033584, K00864, K00858, K00861, K00863, K00855, K00862, X01485, K00865, K00849, K00852, X01483, K00857, K00853, K00848, K00856, K00860, K00843, K00847, K00859, K00846, K00850, K00851, K00854, K00844, K00845"	"LC120389, MH785017, KC866596, J02151, EF467819, CY121115, CY148249, CY009450, CY105902, CY033583, K00866"	"LC120390, V01106, MH785016, KC866595, EF467820, CY148248, CY121114, CY009449, CY105901, CY033582, K00870, K00876, K00867, K00869, K00868, HG455037, CY047428, HG455038"	"LC120392, V01084, KC866598, MH785014, J02147, M38279, EF467822, CY047401, MH085233, MH085236, MH085239, MH085242, MH085245, MH085248, MH085251, MH085254, CY121112, CY148246, CY009447, CY105899, CY033580, AY936882, K00873, HG455033, HG455031, HG455036, J02148, J02149, HG455035, HG455028, HG455029, HG455030, HG455032, HG455034"	"V01099, LC120394, KC866600, MH785012, EF467824, MH085234, MH085237, MH085240, MH085243, MH085246, MH085249, MH085252, MH085255, CY148244, CY121110, CY009445, CY105897, CY033578, CY048965, M10642"	"V01104, LC120395, KC866599, JX120148, MH785015, EF467817, J02150, MH085235, MH085238, MH085241, MH085244, MH085247, MH085250, MH085253, MH085256, CY148247, CY121113, CY009448, CY033581, CY048966, CY105900, K00875"
A/Puerto Rico/8/34/Mount Sinai	Human	H1N1	Puerto Rico	1934	AF389118	"AF389120, K01031"	AF389115	AF389116	AF389117	"AF389119, AF510857"	AF389121	AF389122
A/quail/Italy/1117/1965	Avian	H10N8	Italy	1965	"CY014644, GU052197"	"CY005796, L06587"	"CY005800, GU052202"	"CY005799, GU052201"	"CY014645, GU052200"	"CY005797, GU052199"	"CY005795, GU052198"	CY005798
A/quail/Italy/1117/1965	Avian	H10N8	Italy	1965/06/11	CY087832	CY087834	CY087839	CY087838	CY087837	CY087835	CY087833	CY087836
A/Rockville Illinois/5-CA/1957	Human	H2N2	USA	1957	CY125878	CY125880	CY125885	CY125884	CY125883	CY125881	CY125879	CY125882
A/Rockville Illinois/5/1957	Human	H2N2	USA	1957	CY125830	CY125832	CY125837	CY125836	CY125835	CY125833	CY125831	CY125834
A/Roma/1949	Human	H1N1	Italy	1949	CY019971	CY019973	CY019978	CY019977	CY019976	CY019974	CY019972	CY019975
A/Roma/JY2/1949	Human	H1N1	Italy	1949	CY147358	CY147360	CY147365	CY147364	CY147363	CY147361	CY147359	CY147362
A/Rotterdam/1957	Human	H2N2	Netherlands	1957	CY077897	CY077899	CY077894	CY077895	CY077896	CY077898	CY077900	CY077901
A/Shanghai/202/1957	Human	H2N2	China	1957	KP098424	KP098426	KP098421	KP098422	KP098423	KP098425	KP098427	KP098428
A/Singapore/1-MA12/1957	Human	H2N2	Singapore	1957	CY034052	CY034054	CY034059	CY034058	CY034057	CY034055	CY034053	CY034056
A/Singapore/1-MA12A/1957	Human	H2N2	Singapore	1957	CY034060	CY034062	CY034067	CY034066	CY034065	CY034063	CY034061	CY034064
A/Singapore/1-MA12B/1957	Human	H2N2	Singapore	1957	CY034068	CY034070	CY034075	CY034074	CY034073	CY034071	CY034069	CY034072
A/Singapore/1-MA12D/1957	Human	H2N2	Singapore	1957	CY034076	CY034078	CY034083	CY034082	CY034081	CY034079	CY034077	CY034080
A/Singapore/1-MA12E/1957	Human	H2N2	Singapore	1957/06/01	CY087792	CY087794	CY087799	CY087798	CY087797	CY087795	CY087793	CY087796
A/Singapore/1/1957	Human	H2N2	Singapore	1957	"L20410, L11142, AX399727, CY125894, AB296074, CY034044"	"AX399729, CY125896, AB296075, CY034046, AB124654, AY209895"	"M73521, AX399724, CY125901, CY034051, AY209935"	"M25924, AX399725, CY034050, CY125900, AY210009"	"M26078, AX399726, CY125899, CY034049, AY209991"	"M63752, AX399728, CY125897, CY034047, AY210068"	"AX399730, CY125895, CY034045, X08093"	"AX399731, CY125898, CY034048, AY210151"
A/swine/1931	Swine	H1N1		1931	CY009628	CY009630	CY009635	CY009634	CY009633	CY009631	CY009629	CY009632
A/swine/Jamesburg/1942	Swine	H1N1	USA	1942	CY026427	CY026429	CY026434	CY026433	CY026432	"M63758, CY026430"	CY026428	CY026431
A/swine/JY2/1931	Swine	H1N1		1931	CY147406	CY147408	CY147413	CY147412	CY147411	CY147409	CY147407	CY147410
A/swine/Ohio/23/1935	Swine	H1N1	USA	1935	CY027291	CY027293	CY027298	CY027297	CY027296	"M63756, CY027294"	CY027292	CY027295
A/swine/USA/1976-MA/1931	Swine	H1N1	USA	1931	CY045748	CY045750	CY045755	CY045754	CY045753	CY045751	CY045749	CY045752
A/swine/USA/1976/1931	Swine	H1N1	USA	1931	CY045740	CY045742	CY045747	CY045746	CY045745	CY045743	CY045741	CY045744
A/swine/Wisconsin/1/1957	Swine	H1N1	USA	1957	CY026283	CY026285	CY026290	CY026289	CY026288	"M63762, CY026286"	CY026284	CY026287
A/swine/Wisconsin/1/1961	Swine	H1N1	USA	1961	"AF091307, CY032213"	CY032215	CY032220	CY032219	CY032218	"M63763, CY032216"	"M63519, CY032214"	"M80951, CY032217"
A/Taiwan/1964	Human	H2N2	Taiwan	1964	"DQ508881, AY209969"	"AB124656, AY209912, DQ508883"	DQ508878	DQ508879	DQ508880	"AY210082, DQ508882"	"DQ508884, AY210044"	"DQ508885, AY210172"
A/tern/South Africa/1961	Avian	H5N3	South Africa	1961	"CY014984, U20460, GU052822, CY107861"	"CY014986, GU052824, AY207524"	"CY014991, GU052821"	"CY014990, GU052828"	"GU052827, CY014989"	"M30767, CY014987, GU052825"	"CY014985, GU052823"	"CY014988, GU052826, M16564"
A/turkey/Canada/1963	Avian	H6N8	Canada	1963	"GU052876, CY081286"	"GU052878, AY531038, CY081288"	"GU052882, CY081280"	"GU052881, CY081282"	CY081284	GU052879	"GU052877, GQ404579"	"GU052880, CY081290, M55468"
A/turkey/England/1963	Avian	H7N3	United Kingdom	1963	"CY015065, U20462, CY130150, AF202238"	"CY015067, CY130152, AY207513"	"CY015072, CY130157"	"CY015071, CY130156"	"CY015070, CY130155"	"CY015068, CY130153"	"CY015066, CY130151"	"CY015069, CY130154"
A/turkey/Massachusetts/3740/1965	Avian	H6N2	USA	1965	"AB296072, CY130030"	"AJ574906, AB296073, CY130032"	CY130037	"CY014655, CY130036"	"CY014654, CY130035"	"CY014652, CY130033"	"CY014651, CY130031"	"CY014653, CY130034"
A/turkey/Massachusetts/3740/1965	Avian	H6N2	USA	1965/06/11	CY087752	CY087754	CY087759	CY087758	CY087757	CY087755	CY087753	CY087756
A/United Kingdom/1-MA/1933	Human	H1N1	United Kingdom	1933/06/01	CY090845	CY090847	CY090852	CY090851	CY090850	CY090848	CY090846	CY090849
A/United Kingdom/1/1933	Human	H1N1	United Kingdom	1933/04/16	CY045756	CY045758	CY045763	CY045762	CY045761	CY045759	CY045757	CY045760
A/Victoria/15681/59	Human	H2N2	Australia	1959	AF270726	AY209902	AY209937	AY210011	AY209993	AY210072	AY210033	AY210158
A/Weiss/1943	Human	H1N1	USA	1943	"CY009452, AF494247"	"CY009454, AF250365, AF494252"	CY009459	CY009458	CY009457	CY009455	CY009453	CY009456
A/Weiss/JY2/1943	Human	H1N1	USA	1943	CY147366	CY147368	CY147373	CY147372	CY147371	CY147369	CY147367	CY147370
A/Wilson-Smith/1933	Human	H1N1	United Kingdom	1933	"CY009604, DQ508905, HQ008259"	"CY009606, DQ508907, HQ008258"	"CY009611, DQ508902"	"CY009610, DQ508903"	"CY009609, DQ508904"	"M30746, CY009607, DQ508906, EU330203"	"CY009605, DQ508908"	"CY009608, DQ508909"
A/WSN/1933	Human	H1N1	LAB	1933	LC333185	LC333187	LC333182	LC333183	LC333184	LC333186	LC333188	LC333189
A/Zhang/4/1957	Human	H2N2	China	1957	KP098384	KP098386	KP098381	KP098382	KP098383	KP098385	KP098387	KP098388
